,admirable,adoring,appreciative,amused,anxious,awesome,awkward,bored,calm,confused,craved,disgusted,empathetic,entranced,envious,excited,fearful,horrendous,interesting,joyful,nostalgic,romantic,sad,satisfied,lustful,sympathetic,triumphant
battered,,,,,,,,,,,,,,,,,,,,,,,,,,,
pending,,,,,,,,,,,,,,,,,,,,,,,,,,,
grim,,,,,,,,,,,,,,,,,,,,,,,,,,,
dismal,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleak,,,,,,,,,,,,,,,,,,,,,,,,,,,
frustrating,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathetic,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopeless,,,,,,,,,,,,,,,,,,,,,,,,,,,
pessimistic,,,,,,,,,,,,,,,,,,,,,,,,,,,
dire,,,,,,,,,,,,,,,,,,,,,,,,,,,
darkened,,,,,,,,,,,,,,,,,,,,,,,,,,,
stark,,,,,,,,,,,,,,,,,,,,,,,,,,,
unsatisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,
puzzling,,,,,,,,,,,,,,,,,,,,,,,,,,,
appalling,,,,,,,,,,,,,,,,,,,,,,,,,,,
worrying,,,,,,,,,,,,,,,,,,,,,,,,,,,
alarming,,,,,,,,,,,,,,,,,,,,,,,,,,,
psycho,,,,,,,,,,,,,,,,,,,,,,,,,,,
insane,,,,,,,,,,,,,,,,,,,,,,,,,,,
sick,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizophrenic,,,,,,,,,,,,,,,,,,,,,,,,,,,
paranoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
polarized,,,,,,,,,,,,,,,,,,,,,,,,,,,
suicidal,,,,,,,,,,,,,,,,,,,,,,,,,,,
neurotic,,,,,,,,,,,,,,,,,,,,,,,,,,,
compulsive,,,,,,,,,,,,,,,,,,,,,,,,,,,
disordered,,,,,,,,,,,,,,,,,,,,,,,,,,,
afflicted,,,,,,,,,,,,,,,,,,,,,,,,,,,
affected,,,,,,,,,,,,,,,,,,,,,,,,,,,
ill,,,,,,,,,,,,,,,,,,,,,,,,,,,
plagued,,,,,,,,,,,,,,,,,,,,,,,,,,,
shattered,,,,,,,,,,,,,,,,,,,,,,,,,,,
needy,,,,,,,,,,,,,,,,,,,,,,,,,,,
impoverished,,,,,,,,,,,,,,,,,,,,,,,,,,,
inner,,,,,,,,,,,,,,,,,,,,,,,,,,,
detrimental,,,,,,,,,,,,,,,,,,,,,,,,,,,
powerless,,,,,,,,,,,,,,,,,,,,,,,,,,,
flooded,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazed,,,,,,,,,,,,,,,,,,,,,,,,,,,
surprised,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaken,,,,,,,,,,,,,,,,,,,,,,,,,,,
filled,,,,,,,,,,,,,,,,,,,,,,,,,,,
compassionate,,,,,,,,,,,,,,,,,,,,,,,,,,,
worthless,,,,,,,,,,,,,,,,,,,,,,,,,,,
afraid,,,,,,,,,,,,,,,,,,,,,,,,,,,
wretched,,,,,,,,,,,,,,,,,,,,,,,,,,,
evil,,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrified,,,,,,,,,,,,,,,,,,,,,,,,,,,
disgusted,,,,,,,,,,,,,,,,,,,,,,,,,,,
bewildered,,,,,,,,,,,,,,,,,,,,,,,,,,,
agitated,,,,,,,,,,,,,,,,,,,,,,,,,,,
economical,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficient,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroeconomic,,,,,,,,,,,,,,,,,,,,,,,,,,,
budgetary,,,,,,,,,,,,,,,,,,,,,,,,,,,
political,,,,,,,,,,,,,,,,,,,,,,,,,,,
dangerous,,,,,,,,,,,,,,,,,,,,,,,,,,,
intense,,,,,,,,,,,,,,,,,,,,,,,,,,,
plain,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute,,,,,,,,,,,,,,,,,,,,,,,,,,,
devastating,,,,,,,,,,,,,,,,,,,,,,,,,,,
degenerative,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitual,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressive,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,
endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,
national,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
interior,,,,,,,,,,,,,,,,,,,,,,,,,,,
exogenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
inhibitory,,,,,,,,,,,,,,,,,,,,,,,,,,,
uneasy,,,,,,,,,,,,,,,,,,,,,,,,,,,
insecure,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,
neurological,,,,,,,,,,,,,,,,,,,,,,,,,,,
neurologic,,,,,,,,,,,,,,,,,,,,,,,,,,,
minor,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow,,,,,,,,,,,,,,,,,,,,,,,,,,,
rash,,,,,,,,,,,,,,,,,,,,,,,,,,,
brief,,,,,,,,,,,,,,,,,,,,,,,,,,,
few,,,,,,,,,,,,,,,,,,,,,,,,,,,
miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini,,,,,,,,,,,,,,,,,,,,,,,,,,,
rare,,,,,,,,,,,,,,,,,,,,,,,,,,,
smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,
younger,,,,,,,,,,,,,,,,,,,,,,,,,,,
unimportant,,,,,,,,,,,,,,,,,,,,,,,,,,,
much,,,,,,,,,,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,,,,,,,,,,,,,,,,
regular,,,,,,,,,,,,,,,,,,,,,,,,,,,
staggering,,,,,,,,,,,,,,,,,,,,,,,,,,,
mere,,,,,,,,,,,,,,,,,,,,,,,,,,,
sizable,,,,,,,,,,,,,,,,,,,,,,,,,,,
vast,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,,,,,,,,,,,,,,,,,,,,,,,,,,,
glowing,,,,,,,,,,,,,,,,,,,,,,,,,,,
luminous,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,
lame,,,,,,,,,,,,,,,,,,,,,,,,,,,
timid,,,,,,,,,,,,,,,,,,,,,,,,,,,
inefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,
clumsy,,,,,,,,,,,,,,,,,,,,,,,,,,,
futile,,,,,,,,,,,,,,,,,,,,,,,,,,,
softened,,,,,,,,,,,,,,,,,,,,,,,,,,,
subdued,,,,,,,,,,,,,,,,,,,,,,,,,,,
brushed,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoiled,,,,,,,,,,,,,,,,,,,,,,,,,,,
slowing,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty,,,,,,,,,,,,,,,,,,,,,,,,,,,
inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,
moody,,,,,,,,,,,,,,,,,,,,,,,,,,,
lazy,,,,,,,,,,,,,,,,,,,,,,,,,,,
human,,,,,,,,,,,,,,,,,,,,,,,,,,,
brittle,,,,,,,,,,,,,,,,,,,,,,,,,,,
precarious,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,
stale,,,,,,,,,,,,,,,,,,,,,,,,,,,
fractured,,,,,,,,,,,,,,,,,,,,,,,,,,,
stumbling,,,,,,,,,,,,,,,,,,,,,,,,,,,
sore,,,,,,,,,,,,,,,,,,,,,,,,,,,
motionless,,,,,,,,,,,,,,,,,,,,,,,,,,,
consecutive,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,,,,,,,,,,
square,,,,,,,,,,,,,,,,,,,,,,,,,,,
continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,
boring,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplistic,,,,,,,,,,,,,,,,,,,,,,,,,,,
same,,,,,,,,,,,,,,,,,,,,,,,,,,,
old,,,,,,,,,,,,,,,,,,,,,,,,,,,
parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronological,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,,,,,,,,,,,,,,,,,,,,,,,,,,,
comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,
flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,
smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,
transistor,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrays,,,,,,,,,,,,,,,,,,,,,,,,,,,
embryonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,
poorer,,,,,,,,,,,,,,,,,,,,,,,,,,,
inaccessible,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrialized,,,,,,,,,,,,,,,,,,,,,,,,,,,
divided,,,,,,,,,,,,,,,,,,,,,,,,,,,
shared,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaced,,,,,,,,,,,,,,,,,,,,,,,,,,,
diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,
separated,,,,,,,,,,,,,,,,,,,,,,,,,,,
infrequent,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimum,,,,,,,,,,,,,,,,,,,,,,,,,,,
substantial,,,,,,,,,,,,,,,,,,,,,,,,,,,
devoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
plentiful,,,,,,,,,,,,,,,,,,,,,,,,,,,
intermittent,,,,,,,,,,,,,,,,,,,,,,,,,,,
isolated,,,,,,,,,,,,,,,,,,,,,,,,,,,
unpredictable,,,,,,,,,,,,,,,,,,,,,,,,,,,
random,,,,,,,,,,,,,,,,,,,,,,,,,,,
volatile,,,,,,,,,,,,,,,,,,,,,,,,,,,
fractional,,,,,,,,,,,,,,,,,,,,,,,,,,,
disparate,,,,,,,,,,,,,,,,,,,,,,,,,,,
partial,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursive,,,,,,,,,,,,,,,,,,,,,,,,,,,
bibliographical,,,,,,,,,,,,,,,,,,,,,,,,,,,
broken,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralized,,,,,,,,,,,,,,,,,,,,,,,,,,,
disrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohesive,,,,,,,,,,,,,,,,,,,,,,,,,,,
categorical,,,,,,,,,,,,,,,,,,,,,,,,,,,
repressive,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctrinal,,,,,,,,,,,,,,,,,,,,,,,,,,,
reactionary,,,,,,,,,,,,,,,,,,,,,,,,,,,
philosophical,,,,,,,,,,,,,,,,,,,,,,,,,,,
conscientious,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware,,,,,,,,,,,,,,,,,,,,,,,,,,,
detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,
elaborated,,,,,,,,,,,,,,,,,,,,,,,,,,,
measured,,,,,,,,,,,,,,,,,,,,,,,,,,,
silent,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact,,,,,,,,,,,,,,,,,,,,,,,,,,,
accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,
inaccurate,,,,,,,,,,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,,,,,,,,,,
restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,
bound,,,,,,,,,,,,,,,,,,,,,,,,,,,
narrowed,,,,,,,,,,,,,,,,,,,,,,,,,,,
focused,,,,,,,,,,,,,,,,,,,,,,,,,,,
identified,,,,,,,,,,,,,,,,,,,,,,,,,,,
catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,
partisan,,,,,,,,,,,,,,,,,,,,,,,,,,,
scholastic,,,,,,,,,,,,,,,,,,,,,,,,,,,
individualistic,,,,,,,,,,,,,,,,,,,,,,,,,,,
episcopal,,,,,,,,,,,,,,,,,,,,,,,,,,,
extended,,,,,,,,,,,,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,,,,,,,,,,
laid,,,,,,,,,,,,,,,,,,,,,,,,,,,
bony,,,,,,,,,,,,,,,,,,,,,,,,,,,
axis,,,,,,,,,,,,,,,,,,,,,,,,,,,
expended,,,,,,,,,,,,,,,,,,,,,,,,,,,
spent,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymmetric,,,,,,,,,,,,,,,,,,,,,,,,,,,
orthogonal,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjustable,,,,,,,,,,,,,,,,,,,,,,,,,,,
drawn,,,,,,,,,,,,,,,,,,,,,,,,,,,
inscribed,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaded,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotated,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden,,,,,,,,,,,,,,,,,,,,,,,,,,,
caudal,,,,,,,,,,,,,,,,,,,,,,,,,,,
thickened,,,,,,,,,,,,,,,,,,,,,,,,,,,
overlying,,,,,,,,,,,,,,,,,,,,,,,,,,,
outer,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,
multilateral,,,,,,,,,,,,,,,,,,,,,,,,,,,
divergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
oval,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentric,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometrical,,,,,,,,,,,,,,,,,,,,,,,,,,,
elicited,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrought,,,,,,,,,,,,,,,,,,,,,,,,,,,
occasioned,,,,,,,,,,,,,,,,,,,,,,,,,,,
driven,,,,,,,,,,,,,,,,,,,,,,,,,,,
provoked,,,,,,,,,,,,,,,,,,,,,,,,,,,
desirable,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferred,,,,,,,,,,,,,,,,,,,,,,,,,,,
ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,
unwanted,,,,,,,,,,,,,,,,,,,,,,,,,,,
intended,,,,,,,,,,,,,,,,,,,,,,,,,,,
marked,,,,,,,,,,,,,,,,,,,,,,,,,,,
linked,,,,,,,,,,,,,,,,,,,,,,,,,,,
less,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid,,,,,,,,,,,,,,,,,,,,,,,,,,,
charged,,,,,,,,,,,,,,,,,,,,,,,,,,,
retinal,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocular,,,,,,,,,,,,,,,,,,,,,,,,,,,
refractive,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,
esophageal,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,,,,,,,,,,,,,,,,,,,,,,,,,,,
mandibular,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotational,,,,,,,,,,,,,,,,,,,,,,,,,,,
articular,,,,,,,,,,,,,,,,,,,,,,,,,,,
directional,,,,,,,,,,,,,,,,,,,,,,,,,,,
precipitate,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulsive,,,,,,,,,,,,,,,,,,,,,,,,,,,
reckless,,,,,,,,,,,,,,,,,,,,,,,,,,,
careless,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless,,,,,,,,,,,,,,,,,,,,,,,,,,,
renal,,,,,,,,,,,,,,,,,,,,,,,,,,,
seminal,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovary,,,,,,,,,,,,,,,,,,,,,,,,,,,
interstitial,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrative,,,,,,,,,,,,,,,,,,,,,,,,,,,
nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,
mammary,,,,,,,,,,,,,,,,,,,,,,,,,,,
visual,,,,,,,,,,,,,,,,,,,,,,,,,,,
fused,,,,,,,,,,,,,,,,,,,,,,,,,,,
attached,,,,,,,,,,,,,,,,,,,,,,,,,,,
joined,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint,,,,,,,,,,,,,,,,,,,,,,,,,,,
piled,,,,,,,,,,,,,,,,,,,,,,,,,,,
molded,,,,,,,,,,,,,,,,,,,,,,,,,,,
modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,
dictated,,,,,,,,,,,,,,,,,,,,,,,,,,,
tailored,,,,,,,,,,,,,,,,,,,,,,,,,,,
configured,,,,,,,,,,,,,,,,,,,,,,,,,,,
perched,,,,,,,,,,,,,,,,,,,,,,,,,,,
alveolar,,,,,,,,,,,,,,,,,,,,,,,,,,,
barred,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine,,,,,,,,,,,,,,,,,,,,,,,,,,,
cunning,,,,,,,,,,,,,,,,,,,,,,,,,,,
symmetric,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonious,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,
graceful,,,,,,,,,,,,,,,,,,,,,,,,,,,
baroque,,,,,,,,,,,,,,,,,,,,,,,,,,,
surpassed,,,,,,,,,,,,,,,,,,,,,,,,,,,
beat,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,,,,,,,,,,,,,,,,,,,,,,,,
exceeding,,,,,,,,,,,,,,,,,,,,,,,,,,,
broke,,,,,,,,,,,,,,,,,,,,,,,,,,,
blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,
net,,,,,,,,,,,,,,,,,,,,,,,,,,,
stranded,,,,,,,,,,,,,,,,,,,,,,,,,,,
glacial,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervening,,,,,,,,,,,,,,,,,,,,,,,,,,,
biased,,,,,,,,,,,,,,,,,,,,,,,,,,,
superimposed,,,,,,,,,,,,,,,,,,,,,,,,,,,
bats,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,
staged,,,,,,,,,,,,,,,,,,,,,,,,,,,
oblique,,,,,,,,,,,,,,,,,,,,,,,,,,,
quadratic,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,,,,,,,,,,,,,,,,,,,,,
principal,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipped,,,,,,,,,,,,,,,,,,,,,,,,,,,
geared,,,,,,,,,,,,,,,,,,,,,,,,,,,
oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,
directed,,,,,,,,,,,,,,,,,,,,,,,,,,,
uneven,,,,,,,,,,,,,,,,,,,,,,,,,,,
slipping,,,,,,,,,,,,,,,,,,,,,,,,,,,
wet,,,,,,,,,,,,,,,,,,,,,,,,,,,
elusive,,,,,,,,,,,,,,,,,,,,,,,,,,,
fat,,,,,,,,,,,,,,,,,,,,,,,,,,,
muddy,,,,,,,,,,,,,,,,,,,,,,,,,,,
abused,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
smashed,,,,,,,,,,,,,,,,,,,,,,,,,,,
destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,
struck,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,
unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,
imminent,,,,,,,,,,,,,,,,,,,,,,,,,,,
impending,,,,,,,,,,,,,,,,,,,,,,,,,,,
waiting,,,,,,,,,,,,,,,,,,,,,,,,,,,
relentless,,,,,,,,,,,,,,,,,,,,,,,,,,,
ominous,,,,,,,,,,,,,,,,,,,,,,,,,,,
frightening,,,,,,,,,,,,,,,,,,,,,,,,,,,
shocking,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrifying,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotten,,,,,,,,,,,,,,,,,,,,,,,,,,,
catastrophic,,,,,,,,,,,,,,,,,,,,,,,,,,,
disagreeable,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinister,,,,,,,,,,,,,,,,,,,,,,,,,,,
worst,,,,,,,,,,,,,,,,,,,,,,,,,,,
desolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
barren,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw,,,,,,,,,,,,,,,,,,,,,,,,,,,
icy,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
tedious,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritating,,,,,,,,,,,,,,,,,,,,,,,,,,,
stressful,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewarding,,,,,,,,,,,,,,,,,,,,,,,,,,,
embarrassing,,,,,,,,,,,,,,,,,,,,,,,,,,,
dumb,,,,,,,,,,,,,,,,,,,,,,,,,,,
grotesque,,,,,,,,,,,,,,,,,,,,,,,,,,,
unworthy,,,,,,,,,,,,,,,,,,,,,,,,,,,
invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,
unskilled,,,,,,,,,,,,,,,,,,,,,,,,,,,
insoluble,,,,,,,,,,,,,,,,,,,,,,,,,,,
doomed,,,,,,,,,,,,,,,,,,,,,,,,,,,
illusory,,,,,,,,,,,,,,,,,,,,,,,,,,,
needless,,,,,,,,,,,,,,,,,,,,,,,,,,,
discouraged,,,,,,,,,,,,,,,,,,,,,,,,,,,
dramatic,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeptical,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,
cynical,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreaded,,,,,,,,,,,,,,,,,,,,,,,,,,,
drastic,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaring,,,,,,,,,,,,,,,,,,,,,,,,,,,
extreme,,,,,,,,,,,,,,,,,,,,,,,,,,,
